#geneID1,geneID2,name1,name2,taxonomy1,taxonomy2,uniprotID1,uniprotID2
597,1489674,BCL2A1|ACC-1|ACC-2|BCL2L5|BFL1|GRS|HBPA1,ORF7a|7a|ns7a|U122|X4|SARS-CoV sars7a|ORF7a|SARS-CoV ORF7a|U122|X4|NS7A_CVHSA,9606,694009,Q16548,P59635
598,1489674,BCL2L1|BCL-XL/S|BCL2L|BCLX|BCLXL|BCLXS|Bcl-X|PPP1R52|bcl-xL|bcl-xS,ORF7a|7a|ns7a|U122|X4|SARS-CoV sars7a|ORF7a|SARS-CoV ORF7a|U122|X4|NS7A_CVHSA,9606,694009,Q07817,P59635
599,1489674,BCL2L2|BCL-W|BCL2-L-2|BCLW|PPP1R51,ORF7a|7a|ns7a|U122|X4|SARS-CoV sars7a|ORF7a|SARS-CoV ORF7a|U122|X4|NS7A_CVHSA,9606,694009,Q92843,P59635
821,1489668,CANX|CNX|IP90|P90,S|ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA,9606,694009,P27824,P59594
836,1489678,CASP3|CPP32|CPP32B|SCA-1,N|ORF9a|9a|nuc|nucleocapsid|ncap|SARS-CoV N|N protein|SARS-CoV Nuc|NCAP_CVHSA,9606,694009,P42574,P59595
839,1489678,CASP6|MCH2,N|ORF9a|9a|nuc|nucleocapsid|ncap|SARS-CoV N|N protein|SARS-CoV Nuc|NCAP_CVHSA,9606,694009,P55212,P59595
861,1489670,RUNX1|AML1|AML1-EVI-1|AMLCR1|CBFA2|EVI-1|PEBP2aB,ORF3b|3b|ns3b|X2|SARS-CoV sars3b|ORF3b|SARS-CoV ORF3b|X2|NS3B_CVHSA,9606,694009,Q01196,P59633
1514,1489668,CTSL|CATL|CTSL1|MEP,S|ORF2|2|spike glycoprotein|E2|surface|S protein|SARS-CoV S|SARS-CoV Spike|peplomer|SPIKE_CVHSA,9606,694009,P07711,P59594
2931,1489678,GSK3A|-,N|ORF9a|9a|nuc|nucleocapsid|ncap|SARS-CoV N|N protein|SARS-CoV Nuc|NCAP_CVHSA,9606,694009,P49840,P59595
2932,1489678,GSK3B|-,N|ORF9a|9a|nuc|nucleocapsid|ncap|SARS-CoV N|N protein|SARS-CoV Nuc|NCAP_CVHSA,9606,694009,P49841,P59595
3178,1489678,HNRNPA1|ALS19|ALS20|HNRPA1|HNRPA1L3|IBMPFD3|hnRNP A1|hnRNP-A1,N|ORF9a|9a|nuc|nucleocapsid|ncap|SARS-CoV N|N protein|SARS-CoV Nuc|NCAP_CVHSA,9606,694009,P09651,P59595
3178,1489678,HNRNPA1|ALS19|ALS20|HNRPA1|HNRPA1L3|IBMPFD3|hnRNP A1|hnRNP-A1,N|ORF9a|9a|nuc|nucleocapsid|ncap|SARS-CoV N|N protein|SARS-CoV Nuc|NCAP_CVHSA,9606,694009,P09651,P59595
3661,1489680,IRF3|-,nsp3ab|nsp3|sars1ab|orf1ab|SARS-CoV nsp3ab|SARS-CoV nsp3|SARS-CoV sars1ab|orf1ab-nsp3|orf1ab-nsp3ab|pp1ab|R1AB_CVHSA,9606,694009,Q14653,P0C6X7
3838,1489673,KPNA2|IPOA1|QIP2|RCH1|SRP1alpha,ORF6|6|ns6|X3|SARS-CoV sars6|ORF6|SARS-CoV ORF6|X3|NS6_CVHSA,9606,694009,P52292,P59634
3838,1489673,KPNA2|IPOA1|QIP2|RCH1|SRP1alpha,ORF6|6|ns6|X3|SARS-CoV sars6|ORF6|SARS-CoV ORF6|X3|NS6_CVHSA,9606,694009,P52292,P59634
