#DrugBank-ID,host-protein-ID,gene
11130,3675,OPRK1
11130,3674,OPRD1
11130,3677,OPRM1
9418,4894,SLC5A5
1620,1323,HRH1
4473,2640,IGHG1
146,5646,VDR
3636,3250,MMP8
2471,4355,PYGM
2471,18840,LCTL
2471,2981,LCT
4720,1163,CSNK2A1
7644,10602,DCPS
3691,6359,CTSF
4194,3075,LYZ
6711,145,ADRA2A
6711,142,ADRA1A
1032,9197,PANX1
1032,12566,SLC22A11
1032,6845,SLC22A8
1032,6827,SLC22A6
1032,10907,TAS2R16
3703,124,ADH1B
8232,1667,F7
8232,1013,F3
8691,973,CLK1
8691,976,CLK3
2016,3053,LSS
13952,932,CHRNA4
13952,6468,NR1I2
13952,6327,BECN1
13952,3318,MT-ATP6
13952,7796,NCOA2
13952,2507,HSD17B2
13952,2140,GPER1
13952,1627,ESR1
13952,1628,ESR2
13952,1631,ESRRG
1852,17371,UGT3A1
4975,5428,TOP2A
6468,4912,SLC9A1
9068,148,ADRB1
9068,4898,SLC6A4
9068,2557,HTR7
9068,2553,HTR3A
9068,2545,HTR1A
9068,2546,HTR1B
1349,174,AGTR2
1349,173,AGTR1
185,926,CHRM3
185,923,CHRM1
7130,4306,PTPN1
1979,3145,MBL2
5319,3078,EPCAM
644,16468,GNRHR2
644,2094,GNRHR
4957,2836,KCNE1
4957,2840,KCNH2
4957,2865,KCNQ1
7821,5911,PLA2G7
7821,874,CES1
7821,3726,PAFAH1B3
7936,834,CDK2
393,179,AHR
393,635,CACNA1S
393,640,CACNB3
393,634,CACNA1F
393,638,CACNB1
393,631,CACNA1C
393,639,CACNB2
393,641,CACNB4
393,632,CACNA1D
2183,2349,HINT1
7659,1661,F2
5459,11331,IL23A
5459,2707,IL12B
11730,836,CDK4
11730,838,CDK6
3144,3576,NOS2
3144,330,ARG1
3144,3575,NOS1
3144,3577,NOS3
8388,3255,MMP13
1842,4509,RNASE1
3660,1411,DPP4
920,3865,PGD
920,1323,HRH1
994,696,CASR
459,4411,RARG
459,4410,RARB
459,4409,RARA
459,4679,RXRB
459,4420,RBP1
459,4680,RXRG
459,4678,RXRA
1520,2190,GRIN2D
1520,934,CHRNA7
1520,2188,GRIN2B
1520,2189,GRIN2C
1520,16603,GRIN3A
1520,16604,GRIN3B
5518,1708,FBP1
1811,3063,LTF
1631,2640,IGHG1
1631,2978,LCN2
933,1421,DRD2
933,2550,HTR2A
8752,1215,CTSS
3352,3234,MST
11156,923,CHRM1
11156,2146,GPR35
332,926,CHRM3
332,923,CHRM1
332,924,CHRM2
7221,6909,GGPS1
41,2680,IL2RA
41,2681,IL2RB
41,2682,IL2RG
3366,3054,LTA4H
3366,11580,CYCS
3366,184,AK2
3366,3576,NOS2
3366,8311,DMC1
3366,7582,GPHN
3366,3919,PIM1
3366,3423,MYO1E
3366,3143,MB
3429,253,SLC25A4
3711,22544,LCN9
535,3276,MPO
1820,4306,PTPN1
608,11569,TLR9
608,2218,GSTA2
608,5404,TNF
8329,618,CA2
5936,134,ADORA2B
14010,2550,HTR2A
14010,2545,HTR1A
645,4741,SCN10A
7431,834,CDK2
7431,6756,MAPKAPK2
8454,12941,CAMK1D
8338,1163,CSNK2A1
2269,4206,PRSS1
9238,3576,NOS2
91,4065,PPIA
91,669,CAMLG
91,4113,PPP3R2
91,7460,PPIF
9202,142,ADRA1A
9202,143,ADRA1B
9202,142,ADRA1D
8015,4172,MAPK10
7065,834,CDK2
938,148,ADRB1
938,150,ADRB3
938,149,ADRB2
2047,4287,PTGS1
12332,7402,PARP3
12332,7401,PARP2
12332,138,PARP1
2112,4206,PRSS1
3878,40,ABL
3878,40,ABL1
3499,1141,CS
3499,3175,ME2
8526,1208,CTSH
4459,1338,CFD
9030,1662,F2R
6909,3792,PDE4B
4238,4206,PRSS1
1559,1914,GABRG3
1559,1909,GABRB1
1559,1910,GABRB3
1559,18936,GABRR3
1559,1911,GABRD
1559,1915,GABRP
1559,1912,GABRE
1559,1903,GABRA1
1559,1913,GABRG1
1559,1905,GABRA3
1559,1917,GABRR2
1559,1916,GABRR1
1559,1907,GABRA5
1559,1904,GABRA2
4214,11909,DUSP23
4214,63,ACP1
7728,6756,MAPKAPK2
7728,5889,MAPKAPK3
289,4896,SLC6A2
289,4898,SLC6A4
289,4897,SLC6A3
7208,4058,PPARG
7474,2621,IGF1R
1418,13891,VKORC1
190,1310,DDC
7405,3576,NOS2
12610,1598,EPHX2
7791,834,CDK2
2299,2823,KCNA4
7156,2621,IGF1R
1356,2212,GSK3B
1356,2177,GRIA3
1356,2724,IMPA2
1356,2723,IMPA1
9331,778,CD38
2622,4306,PTPN1
3516,270,AOX1
3516,5702,XDH
3516,1414,DPYD
11075,3078,EPCAM
4660,2058,GM2A
5744,2701,IL10
5744,2689,IL6
5744,1117,CRP
5744,5404,TNF
4998,6192,IKBKG
1289,2847,KCNJ8
7503,3921,PIK3CG
2400,1352,NQO1
7632,618,CA2
1233,2553,HTR3A
1233,923,CHRM1
1233,1421,DRD2
1233,2554,HTR4
1233,57,ACHE
89,1822,FOLH1
546,18936,GABRR3
546,1907,GABRA5
546,1903,GABRA1
546,1914,GABRG3
546,1905,GABRA3
546,1909,GABRB1
546,1911,GABRD
546,1904,GABRA2
546,1916,GABRR1
546,1910,GABRB3
546,1913,GABRG1
546,1915,GABRP
546,1917,GABRR2
546,1912,GABRE
4931,3148,MC1R
5034,3605,NPR1
5668,1397,DNMT1
8744,3569,NQO2
464,4192,PROC
464,4195,PROS1
148,951,CKMT2
148,949,CKM
148,944,CKB
148,4901,SLC6A8
148,1937,GAMT
148,24078,CKMT1A
4866,1014,COL1A1
4866,3247,MMP2
3903,68,ACTA1
1888,834,CDK2
3414,3120,MAN2A1
8399,426,ATP5C1
8399,421,ATP5A1
8399,424,ATP5B
12436,5173,TACR1
6924,1078,CPA1
5192,5351,THRB
8409,2641,IGHG2
8409,2640,IGHG1
8860,2402,HMGCR
232,617,CA1
232,4920,SLC12A1
232,618,CA2
232,620,CA4
8044,1411,DPP4
2147,586,C3
7427,2309,HBB
7427,2305,HBA1
8536,834,CDK2
198,874,CES1
198,3515,NEU1
198,3516,NEU2
198,5707,NA
8904,5404,TNF
5463,11569,TLR9
4768,9805,TPK1
7724,4057,PPARD
7724,6302,NCOA1
7724,4056,PPARA
7724,4058,PPARG
1929,18929,DHFRL1
7593,1209,CTSK
8426,1671,F10
2784,4306,PTPN1
5495,3251,MMP9
5510,57,ACHE
7286,209,AR
4865,4571,RPL3
1750,4868,SKP1
13503,57,ACHE
1427,5404,TNF
1427,3792,PDE4B
1427,3789,PDE3A
168,14685,TAS1R2
168,5662,TRPV1
168,15086,TAS1R3
5398,755,CD9
2778,1708,FBP1
4781,189,ALAD
8214,3576,NOS2
8574,3241,MLLT4
3276,2170,GRB2
7584,187,AKT1
7584,2212,GSK3B
7982,834,CDK2
3701,4897,SLC6A3
2343,57,ACHE
997,5428,TOP2A
997,6729,NOLC1
997,7001,GABBR2
9203,142,ADRA1D
703,618,CA2
703,624,CA7
703,620,CA4
703,619,CA3
703,617,CA1
1428,3875,PGR
1428,1628,ESR2
1428,209,AR
1428,1627,ESR1
4661,740,CD1D
4716,5548,TYK2
4716,2809,JAK2
4716,1286,DAPK3
4716,2810,JAK3
4716,2808,JAK1
1667,3589,PNP
8519,2871,KDR
3019,834,CDK2
5578,2871,KDR
9061,6512,CACNA1I
9061,6514,CACNA1G
9061,11242,TRPV2
9061,6513,CACNA1H
9061,2045,GLRA1
9061,4058,PPARG
9061,934,CHRNA7
9061,5662,TRPV1
9061,2545,HTR1A
9061,1009,CNR1
9061,2553,HTR3A
9061,3677,OPRM1
9061,5642,VDAC1
9061,13928,TRPM8
9061,2126,GPR12
9061,3674,OPRD1
9061,18521,TRPV3
9061,132,ADORA1
9061,6774,GPR55
9061,13394,TRPV4
9061,5928,GLRA3
9061,6553,TRPA1
9061,2550,HTR2A
9061,2130,GPR18
9061,1010,CNR2
6422,2554,HTR4
6422,2553,HTR3A
936,4287,PTGS1
936,4288,PTGS2
936,1311,AKR1C1
202,924,CHRM2
202,934,CHRNA7
202,12906,CHRNA10
202,923,CHRM1
202,926,CHRM3
4770,6238,PDXK
239,6468,NR1I2
1327,4037,PON1
1327,2713,IL15
1327,2679,IL2
5992,5404,TNF
4391,4206,PRSS1
6732,1627,ESR1
6732,5314,NR2F1
6732,1629,ESRRA
6732,1234,CYP1B1
6732,179,AHR
6715,17413,TAAR1
2396,3143,MB
12865,696,CASR
7324,2527,HSP90AA1
