#DrugBank-ID,Drug_name,Disease_ID,Disease_name
1,lepirudin,3325,heparin-induced thrombocytopenia
3,dornase alfa,219700,cystic fibrosis
3,dornase alfa,586,cystic fibrosis
5,etanercept,180300,rheumatoid arthritis
6,bivalirudin,3325,heparin-induced thrombocytopenia
7,leuprolide,176807,prostate cancer
8,peginterferon alfa-2a,114550,hepatocellular carcinoma
8,peginterferon alfa-2a,88673,hepatocellular carcinoma
17,salmon calcitonin,166710,osteoporosis
22,peginterferon alfa-2b,114550,hepatocellular carcinoma
22,peginterferon alfa-2b,88673,hepatocellular carcinoma
25,antihemophilic factor- human recombinant-,306700,hemophilia a
25,antihemophilic factor- human recombinant-,903,von willebrand disease
25,antihemophilic factor- human recombinant-,98878,hemophilia a
26,anakinra,180300,rheumatoid arthritis
28,immune globulin human,180300,rheumatoid arthritis
28,immune globulin human,168569,h syndrome
28,immune globulin human,2331,kawasaki disease
28,immune globulin human,2932,chronic inflammatory demyelinating polyneuropathy
33,interferon gamma-1b,379,chronic granulomatous disease
35,desmopressin,306700,hemophilia a
35,desmopressin,98878,hemophilia a
36,coagulation factor viia recombinant human,306700,hemophilia a
36,coagulation factor viia recombinant human,98878,hemophilia a
45,lyme disease vaccine (recombinant ospa),91546,lyme disease
51,adalimumab,180300,rheumatoid arthritis
52,somatotropin,963,acromegaly
65,infliximab,180300,rheumatoid arthritis
72,trastuzumab,114480,breast cancer
73,rituximab,180300,rheumatoid arthritis
82,pegvisomant,963,acromegaly
85,pancrelipase,219700,cystic fibrosis
85,pancrelipase,586,cystic fibrosis
89,capromab pendetide,176807,prostate cancer
91,cyclosporine,180300,rheumatoid arthritis
100,coagulation factor ix (recombinant),306900,hemophilia b
100,coagulation factor ix (recombinant),98879,hemophilia b
104,octreotide,963,acromegaly
106,abarelix,176807,prostate cancer
108,natalizumab,217260,progressive multifocal leukoencephalopathy
111,daclizumab,2137,autoimmune hepatitis
112,bevacizumab,114480,breast cancer
112,bevacizumab,114500,colorectal cancer
115,cyanocobalamin,170900,pernicious anemia
117,histidine,180300,rheumatoid arthritis
118,ademetionine,165720,osteoarthritis
120,l-phenylalanine,272620,tardive dyskinesia
136,calcitriol,166710,osteoporosis
138,cystine,165720,osteoarthritis
138,cystine,180300,rheumatoid arthritis
141,n-acetylglucosamine,165720,osteoarthritis
142,glutamic acid,181500,schizophrenia
146,calcidiol,166710,osteoporosis
153,ergocalciferol,166710,osteoporosis
159,icosapent,219700,cystic fibrosis
159,icosapent,586,cystic fibrosis
161,l-valine,261600,phenylketonuria
161,l-valine,716,phenylketonuria
163,vitamin e,180300,rheumatoid arthritis
167,l-isoleucine,272620,tardive dyskinesia
169,cholecalciferol,166710,osteoporosis
178,ramipril,552,mody
182,amphetamine,601665,obesity
188,bortezomib,29073,multiple myeloma
188,bortezomib,52416,mantle cell lymphoma
191,phentermine,601665,obesity
193,tramadol,165720,osteoarthritis
200,hydroxocobalamin,170900,pernicious anemia
200,hydroxocobalamin,260350,pancreatic cancer
203,sildenafil,182090,pulmonary arterial hypertension
205,pyrimethamine,673,malaria
213,pantoprazole,109350,gastroesophageal reflux
233,aminosalicylic acid,3389,tuberculosis
246,ziprasidone,181500,schizophrenia
247,methysergide,100093,carcinoid syndrome
248,cabergoline,310465,n syndrome
248,cabergoline,2608,n syndrome
248,cabergoline,2965,prolactinoma
250,dapsone,1656,dermatitis herpetiformis
250,dapsone,673,malaria
254,doxycycline,3299,tetanus
254,doxycycline,673,malaria
254,doxycycline,707,plague
255,diethylstilbestrol,176807,prostate cancer
256,lymecycline,673,malaria
256,lymecycline,91546,lyme disease
260,cycloserine,3389,tuberculosis
261,anagrelide,3318,essential thrombocythemia
261,anagrelide,521,chronic myeloid leukemia
262,carmustine,29073,multiple myeloma
263,sulfisoxazole,31204,nocardiosis
263,sulfisoxazole,33475,meningococcal meningitis
263,sulfisoxazole,673,malaria
269,chlorotrianisene,176807,prostate cancer
273,topiramate,601665,obesity
273,topiramate,2382,lennox-gastaut syndrome
285,venlafaxine,114480,breast cancer
286,conjugated estrogens,114480,breast cancer
286,conjugated estrogens,166710,osteoporosis
291,chlorambucil,211750,c syndrome
291,chlorambucil,613024,follicular lymphoma
291,chlorambucil,1308,c syndrome
291,chlorambucil,545,follicular lymphoma
307,bexarotene,114480,breast cancer
307,bexarotene,211980,lung cancer
313,valproic acid,2382,lennox-gastaut syndrome
314,capreomycin,3389,tuberculosis
317,gefitinib,211980,lung cancer
323,tolcapone,310465,n syndrome
323,tolcapone,2608,n syndrome
328,indomethacin,165720,osteoarthritis
328,indomethacin,180300,rheumatoid arthritis
330,ethambutol,3389,tuberculosis
333,methadone,211980,lung cancer
334,olanzapine,181500,schizophrenia
338,omeprazole,109350,gastroesophageal reflux
338,omeprazole,310465,n syndrome
338,omeprazole,2467,systemic mastocytosis
338,omeprazole,2608,n syndrome
338,omeprazole,913,zollinger-ellison syndrome
338,omeprazole,98292,mastocytosis
339,pyrazinamide,3389,tuberculosis
342,terfenadine,115000,cardiac arrhythmia
348,nitisinone,882,tyrosinemia type 1
349,clobazam,2382,lennox-gastaut syndrome
351,megestrol acetate,114480,breast cancer
351,megestrol acetate,176807,prostate cancer
351,megestrol acetate,608089,endometrial cancer
354,buclizine,158280,motion sickness
357,aminoglutethimide,176807,prostate cancer
358,mefloquine,673,malaria
359,sulfadiazine,3099,rheumatic fever
359,sulfadiazine,33475,meningococcal meningitis
361,vinorelbine,114480,breast cancer
361,vinorelbine,167000,ovarian cancer
361,vinorelbine,211980,lung cancer
361,vinorelbine,873,desmoid tumor
361,vinorelbine,98293,hodgkin lymphoma
363,clozapine,181500,schizophrenia
372,thiethylperazine,158280,motion sickness
374,treprostinil,182090,pulmonary arterial hypertension
380,dexrazoxane,114480,breast cancer
384,triamterene,211750,c syndrome
384,triamterene,1308,c syndrome
385,valrubicin,109800,bladder cancer
391,sulpiride,181500,schizophrenia
394,beclomethasone dipropionate,39812,graft versus host disease
397,phenylpropanolamine,601665,obesity
398,sorafenib,114550,hepatocellular carcinoma
398,sorafenib,88673,hepatocellular carcinoma
399,zoledronic acid,166710,osteoporosis
399,zoledronic acid,176807,prostate cancer
399,zoledronic acid,29073,multiple myeloma
408,loxapine,181500,schizophrenia
409,remoxipride,181500,schizophrenia
417,phenoxymethylpenicillin,3099,rheumatic fever
419,miglustat,355,gaucher disease
419,miglustat,646,niemann-pick disease type c
421,spironolactone,211750,c syndrome
421,spironolactone,1308,c syndrome
440,trimethoprim,673,malaria
441,gemcitabine,109800,bladder cancer
441,gemcitabine,114480,breast cancer
441,gemcitabine,133239,esophageal cancer
441,gemcitabine,167000,ovarian cancer
441,gemcitabine,211980,lung cancer
441,gemcitabine,260350,pancreatic cancer
443,betamethasone,418,congenital adrenal hyperplasia
445,epirubicin,114480,breast cancer
451,levothyroxine,255900,myxedema
457,prazosin,171300,pheochromocytoma
458,imipramine,181500,schizophrenia
461,nabumetone,165720,osteoarthritis
461,nabumetone,180300,rheumatoid arthritis
462,methylscopolamine bromide,158280,motion sickness
464,sodium tetradecyl sulfate,192200,varicose veins
468,quinine,108,babesiosis
468,quinine,673,malaria
469,tenoxicam,165720,osteoarthritis
469,tenoxicam,180300,rheumatoid arthritis
477,chlorpromazine,181500,schizophrenia
477,chlorpromazine,3299,tetanus
477,chlorpromazine,738,porphyria
477,chlorpromazine,79276,acute intermittent porphyria
479,amikacin,3389,tuberculosis
480,lenalidomide,211750,c syndrome
480,lenalidomide,1308,c syndrome
480,lenalidomide,29073,multiple myeloma
481,raloxifene,114480,breast cancer
481,raloxifene,166710,osteoporosis
482,celecoxib,165720,osteoarthritis
482,celecoxib,180300,rheumatoid arthritis
482,celecoxib,733,familial adenomatous polyposis
488,altretamine,167000,ovarian cancer
500,tolmetin,165720,osteoarthritis
500,tolmetin,180300,rheumatoid arthritis
502,haloperidol,181500,schizophrenia
515,cisplatin,109800,bladder cancer
515,cisplatin,167000,ovarian cancer
515,cisplatin,211980,lung cancer
519,trandolapril,552,mody
526,oxaliplatin,114500,colorectal cancer
530,erlotinib,211980,lung cancer
530,erlotinib,260350,pancreatic cancer
530,erlotinib,3318,essential thrombocythemia
530,erlotinib,729,polycythemia vera
531,cyclophosphamide,211750,c syndrome
531,cyclophosphamide,254400,mycosis fungoides
531,cyclophosphamide,1308,c syndrome
531,cyclophosphamide,29073,multiple myeloma
531,cyclophosphamide,635,neuroblastoma
531,cyclophosphamide,790,retinoblastoma
533,rofecoxib,165720,osteoarthritis
533,rofecoxib,180300,rheumatoid arthritis
536,guanidine,211750,c syndrome
536,guanidine,1308,c syndrome
536,guanidine,589,myasthenia gravis
537,ciprofloxacin,247257,inhalational anthrax
537,ciprofloxacin,99745,typhoid
539,toremifene,114480,breast cancer
539,toremifene,176807,prostate cancer
541,vincristine,635,neuroblastoma
541,vincristine,98293,hodgkin lymphoma
545,pyridostigmine,589,myasthenia gravis
554,piroxicam,165720,osteoarthritis
554,piroxicam,180300,rheumatoid arthritis
555,lamotrigine,2382,lennox-gastaut syndrome
559,bosentan,182090,pulmonary arterial hypertension
563,methotrexate,114480,breast cancer
563,methotrexate,180300,rheumatoid arthritis
563,methotrexate,211980,lung cancer
563,methotrexate,254400,mycosis fungoides
563,methotrexate,99926,gestational choriocarcinoma
563,methotrexate,99927,hydatidiform mole
564,carbamazepine,221091,trigeminal neuralgia
568,cinnarizine,158280,motion sickness
570,vinblastine,114480,breast cancer
570,vinblastine,254400,mycosis fungoides
570,vinblastine,635,neuroblastoma
571,propranolol,171300,pheochromocytoma
573,fenoprofen,165720,osteoarthritis
573,fenoprofen,180300,rheumatoid arthritis
574,fenfluramine,601665,obesity
575,clonidine,171300,pheochromocytoma
579,mazindol,601665,obesity
579,mazindol,98896,duchenne muscular dystrophy
580,valdecoxib,165720,osteoarthritis
583,l-carnitine,606054,propionic acidemia
583,l-carnitine,35,propionic acidemia
586,diclofenac,165720,osteoarthritis
586,diclofenac,180300,rheumatoid arthritis
598,labetalol,171300,pheochromocytoma
598,labetalol,275555,preeclampsia
598,labetalol,3299,tetanus
604,cisapride,109350,gastroesophageal reflux
605,sulindac,165720,osteoarthritis
605,sulindac,180300,rheumatoid arthritis
608,chloroquine,180300,rheumatoid arthritis
608,chloroquine,673,malaria
609,ethionamide,3389,tuberculosis
613,amodiaquine,673,malaria
617,paramethadione,1913,fetal trimethadione syndrome
618,demeclocycline,673,malaria
618,demeclocycline,91546,lyme disease
619,imatinib,211750,c syndrome
619,imatinib,1308,c syndrome
619,imatinib,2467,systemic mastocytosis
619,imatinib,31112,dermatofibrosarcoma protuberans
619,imatinib,44890,gastrointestinal stromal tumor
619,imatinib,521,chronic myeloid leukemia
619,imatinib,98292,mastocytosis
619,imatinib,98850,aggressive systemic mastocytosis
630,alendronic acid,166710,osteoporosis
635,prednisone,160750,myositis
635,prednisone,211750,c syndrome
635,prednisone,254400,mycosis fungoides
635,prednisone,310465,n syndrome
635,prednisone,1308,c syndrome
635,prednisone,1656,dermatitis herpetiformis
635,prednisone,221,dermatomyositis
635,prednisone,2608,n syndrome
635,prednisone,3389,tuberculosis
635,prednisone,36426,stevens-johnson syndrome
635,prednisone,397,giant cell arteritis
635,prednisone,418,congenital adrenal hyperplasia
635,prednisone,589,myasthenia gravis
635,prednisone,797,sarcoidosis
636,clofibrate,412,dysbetalipoproteinemia
642,pemetrexed,211980,lung cancer
642,pemetrexed,50251,pleural mesothelioma
650,leucovorin,114500,colorectal cancer
650,leucovorin,668,osteosarcoma
656,trazodone,181500,schizophrenia
659,acamprosate,103780,alcohol dependence
660,metaxalone,310465,n syndrome
660,metaxalone,2608,n syndrome
663,flumethasone-,603165,dermatitis- atopic
664,sulfametopyrazine,673,malaria
665,nilutamide,176807,prostate cancer
666,nafarelin,759,central precocious puberty
675,tamoxifen,114480,breast cancer
679,thioridazine,181500,schizophrenia
682,warfarin,166710,osteoporosis
686,pentosan polysulfate,37202,interstitial cystitis
692,phentolamine,171300,pheochromocytoma
692,phentolamine,179600,raynaud disease
695,furosemide,211750,c syndrome
695,furosemide,1308,c syndrome
704,naltrexone,103780,alcohol dependence
707,porfimer sodium,133239,esophageal cancer
710,ibandronate,166710,osteoporosis
712,flurbiprofen,165720,osteoarthritis
712,flurbiprofen,180300,rheumatoid arthritis
722,lisinopril,552,mody
725,homatropine methylbromide,158280,motion sickness
733,pralidoxime,589,myasthenia gravis
734,risperidone,181500,schizophrenia
736,esomeprazole,310465,n syndrome
736,esomeprazole,2608,n syndrome
736,esomeprazole,913,zollinger-ellison syndrome
737,meclizine,158280,motion sickness
738,pentamidine,507,leishmaniasis
740,riluzole,803,amyotrophic lateral sclerosis
747,scopolamine,158280,motion sickness
749,etodolac,165720,osteoarthritis
749,etodolac,180300,rheumatoid arthritis
755,tretinoin,113800,epidermolytic hyperkeratosis
755,tretinoin,520,acute promyelocytic leukemia
759,tetracycline,91546,lyme disease
762,irinotecan,114500,colorectal cancer
762,irinotecan,211980,lung cancer
762,irinotecan,260350,pancreatic cancer
765,metyrosine,171300,pheochromocytoma
773,etoposide,211980,lung cancer
773,etoposide,360,glioblastoma
777,propiomazine,181500,schizophrenia
777,propiomazine,209850,autism
783,estradiol,114480,breast cancer
783,estradiol,165720,osteoarthritis
783,estradiol,176807,prostate cancer
784,mefenamic acid,165720,osteoarthritis
784,mefenamic acid,180300,rheumatoid arthritis
788,naproxen,165720,osteoarthritis
788,naproxen,180300,rheumatoid arthritis
795,sulfasalazine,180300,rheumatoid arthritis
810,biperiden,97349,postencephalitic parkinsonism
811,ribavirin,341,viral hemorrhagic fever
811,ribavirin,99827,crimean-congo hemorrhagic fever
812,phenylbutazone,180300,rheumatoid arthritis
814,meloxicam,165720,osteoarthritis
820,tadalafil,182090,pulmonary arterial hypertension
830,phenmetrazine,601665,obesity
834,mifepristone,553,cushing syndrome
837,progabide,181500,schizophrenia
843,donepezil,181500,schizophrenia
843,donepezil,310465,n syndrome
843,donepezil,2608,n syndrome
843,donepezil,870,down syndrome
847,cysteamine,213,cystinosis
848,levamisole,180300,rheumatoid arthritis
853,temozolomide,360,glioblastoma
856,chlorphenesin,221091,trigeminal neuralgia
858,drostanolone,114480,breast cancer
859,penicillamine,180300,rheumatoid arthritis
859,penicillamine,214,cystinuria
860,prednisolone,180300,rheumatoid arthritis
860,prednisolone,418,congenital adrenal hyperplasia
860,prednisolone,98375,autoimmune hemolytic anemia
861,diflunisal,165720,osteoarthritis
861,diflunisal,180300,rheumatoid arthritis
862,vardenafil,552,mody
863,ranitidine,109350,gastroesophageal reflux
865,benzphetamine,601665,obesity
875,flupentixol,181500,schizophrenia
884,risedronate,166710,osteoporosis
887,bumetanide,211750,c syndrome
887,bumetanide,1308,c syndrome
888,mechlorethamine,254400,mycosis fungoides
888,mechlorethamine,729,polycythemia vera
891,sulfapyridine,1656,dermatitis herpetiformis
891,sulfapyridine,46486,mucous membrane pemphigoid
891,sulfapyridine,48104,pyoderma gangrenosum
894,testolactone,114480,breast cancer
898,ethanol,221091,trigeminal neuralgia
917,dinoprostone,99927,hydatidiform mole
927,famotidine,109350,gastroesophageal reflux
928,azacitidine,211750,c syndrome
928,azacitidine,1308,c syndrome
928,azacitidine,86839,refractory anemia with excess blasts
928,azacitidine,98826,refractory anemia
933,mesoridazine,181500,schizophrenia
937,diethylpropion,601665,obesity
939,meclofenamic acid,165720,osteoarthritis
939,meclofenamic acid,180300,rheumatoid arthritis
945,acetylsalicylic acid,165720,osteoarthritis
945,acetylsalicylic acid,180300,rheumatoid arthritis
947,fulvestrant,114480,breast cancer
949,felbamate,2382,lennox-gastaut syndrome
951,isoniazid,3389,tuberculosis
959,methylprednisolone,180300,rheumatoid arthritis
973,ezetimibe,210250,sitosterolemia
973,ezetimibe,391665,homozygous familial hypercholesterolemia
977,ethinyl estradiol,114480,breast cancer
984,nandrolone phenpropionate,91378,hereditary angioedema
985,dimenhydrinate,158280,motion sickness
988,dopamine,251383,ck syndrome
988,dopamine,552,mody
989,rivastigmine,177400,butyrylcholinesterase
990,exemestane,114480,breast cancer
991,oxaprozin,165720,osteoarthritis
991,oxaprozin,180300,rheumatoid arthritis
993,azathioprine,180300,rheumatoid arthritis
995,auranofin,180300,rheumatoid arthritis
997,doxorubicin,114480,breast cancer
997,doxorubicin,635,neuroblastoma
1003,cromoglicic acid,70476,vernal keratoconjunctivitis
1006,letrozole,114480,breast cancer
1006,letrozole,166710,osteoporosis
1008,busulfan,521,chronic myeloid leukemia
1009,ketoprofen,165720,osteoarthritis
1009,ketoprofen,180300,rheumatoid arthritis
1010,edrophonium,115000,cardiac arrhythmia
1010,edrophonium,589,myasthenia gravis
1011,metyrapone,553,cushing syndrome
1012,cinacalcet,143,parathyroid carcinoma
1026,ketoconazole,1334,chronic mucocutaneous candidiasis
1030,topotecan,167000,ovarian cancer
1030,topotecan,211980,lung cancer
1042,melphalan,114480,breast cancer
1042,melphalan,29073,multiple myeloma
1042,melphalan,69,amyloidosis
1045,rifampicin,3389,tuberculosis
1050,ibuprofen,165720,osteoarthritis
1050,ibuprofen,180300,rheumatoid arthritis
1065,melatonin,176807,prostate cancer
1065,melatonin,209850,autism
1065,melatonin,272620,tardive dyskinesia
1068,clonazepam,2382,lennox-gastaut syndrome
1069,promethazine,158280,motion sickness
1070,dihydrotachysterol,166710,osteoporosis
1075,diphenhydramine,158280,motion sickness
1076,atorvastatin,391665,homozygous familial hypercholesterolemia
1076,atorvastatin,412,dysbetalipoproteinemia
1080,vigabatrin,3451,west syndrome
1082,streptomycin,3389,tuberculosis
1082,streptomycin,707,plague
1083,orlistat,601665,obesity
1087,primaquine,673,malaria
1088,iloprost,182090,pulmonary arterial hypertension
1093,dimethyl sulfoxide,37202,interstitial cystitis
1097,leflunomide,180300,rheumatoid arthritis
1098,rosuvastatin,391665,homozygous familial hypercholesterolemia
1101,capecitabine,114480,breast cancer
1101,capecitabine,114500,colorectal cancer
1103,quinacrine,507,leishmaniasis
1103,quinacrine,673,malaria
1105,sibutramine,601665,obesity
1109,heparin,166710,osteoporosis
1117,atovaquone,673,malaria
1118,amiodarone,552,mody
1119,diazoxide,97279,insulinoma
1122,ambenonium,589,myasthenia gravis
1128,bicalutamide,176807,prostate cancer
1131,proguanil,673,malaria
1134,desoxycorticosterone pivalate,180300,rheumatoid arthritis
1134,desoxycorticosterone pivalate,767,polyarteritis nodosa
1143,amifostine,167000,ovarian cancer
1145,sulfoxone,1656,dermatitis herpetiformis
1169,arsenic trioxide,520,acute promyelocytic leukemia
1176,cyclizine,158280,motion sickness
1177,idarubicin,114480,breast cancer
1181,ifosfamide,109800,bladder cancer
1181,ifosfamide,167000,ovarian cancer
1181,ifosfamide,211980,lung cancer
1181,ifosfamide,668,osteosarcoma
1186,pergolide,310465,n syndrome
1186,pergolide,2608,n syndrome
1191,dexfenfluramine,601665,obesity
1199,tubocurarine,589,myasthenia gravis
1200,bromocriptine,230300,galactorrhea
1200,bromocriptine,310465,n syndrome
1200,bromocriptine,2608,n syndrome
1200,bromocriptine,94093,neuroleptic malignant syndrome
1200,bromocriptine,963,acromegaly
1201,rifapentine,3389,tuberculosis
1211,clarithromycin,1549,cryptosporidiosis
1211,clarithromycin,91546,lyme disease
1217,anastrozole,114480,breast cancer
