#DrugBank-ID,Drug-name,HPO-ID,Symptom
1,lepirudin,1873,thrombocytopenia
1,lepirudin,11874,heparin-induced thrombocytopenia
1,lepirudin,12830,position
2,cetuximab,30731,carcinoma
2,cetuximab,31375,refractory
4,denileukin diftitox,2665,lymphoma
4,denileukin diftitox,12190,t-cell lymphoma
4,denileukin diftitox,12192,cutaneous t-cell lymphoma
5,etanercept,1369,arthritis
5,etanercept,1370,rheumatoid arthritis
5,etanercept,11010,chronic
5,etanercept,12826,moderate
5,etanercept,12828,severe
6,bivalirudin,1873,thrombocytopenia
6,bivalirudin,11009,acute
6,bivalirudin,11874,heparin-induced thrombocytopenia
6,bivalirudin,12251,st segment elevation
6,bivalirudin,12826,moderate
6,bivalirudin,31915,stable
7,leuprolide,12125,prostate cancer
7,leuprolide,12825,mild
7,leuprolide,12826,moderate
7,leuprolide,30127,endometriosis
8,peginterferon alfa-2a,1394,cirrhosis
8,peginterferon alfa-2a,1402,hepatocellular carcinoma
8,peginterferon alfa-2a,11010,chronic
8,peginterferon alfa-2a,12115,hepatitis
8,peginterferon alfa-2a,12828,severe
8,peginterferon alfa-2a,30731,carcinoma
8,peginterferon alfa-2a,200123,chronic hepatitis
9,alteplase,1658,myocardial infarction
9,alteplase,11009,acute
10,sermorelin,1824,weight loss
11,interferon alfa-n1,32301,genital warts
12,darbepoetin alfa,1903,anemia
14,goserelin,826,precocious puberty
14,goserelin,30127,endometriosis
15,reteplase,1658,myocardial infarction
15,reteplase,11009,acute
16,erythropoietin,1903,anemia
16,erythropoietin,11010,chronic
16,erythropoietin,12622,chronic kidney disease
17,salmon calcitonin,939,osteoporosis
17,salmon calcitonin,2157,azotemia
17,salmon calcitonin,3072,hypercalcemia
18,interferon alfa-n3,31375,refractory
22,peginterferon alfa-2b,1394,cirrhosis
22,peginterferon alfa-2b,1402,hepatocellular carcinoma
22,peginterferon alfa-2b,11010,chronic
22,peginterferon alfa-2b,12115,hepatitis
22,peginterferon alfa-2b,12828,severe
22,peginterferon alfa-2b,30731,carcinoma
22,peginterferon alfa-2b,200123,chronic hepatitis
23,asparaginase escherichia coli,1909,leukemia
23,asparaginase escherichia coli,6721,acute lymphoblastic leukemia
23,asparaginase escherichia coli,11009,acute
24,thyrotropin alfa,31796,recurrent
26,anakinra,1369,arthritis
26,anakinra,1370,rheumatoid arthritis
26,anakinra,3674,onset
27,gramicidin d,1425,heterogeneous
27,gramicidin d,11856,pica
28,immune globulin human,979,purpura
28,immune globulin human,1271,polyneuropathy
28,immune globulin human,1369,arthritis
28,immune globulin human,1370,rheumatoid arthritis
28,immune globulin human,1909,leukemia
28,immune globulin human,11010,chronic
28,immune globulin human,32322,healthy
29,anistreplase,1658,myocardial infarction
29,anistreplase,11009,acute
30,insulin human,819,diabetes mellitus
30,insulin human,100033,tics
31,tenecteplase,1658,myocardial infarction
32,menotropins,789,infertility
32,menotropins,3251,male infertility
32,menotropins,8222,female infertility
33,interferon gamma-1b,11002,osteopetrosis
33,interferon gamma-1b,11010,chronic
33,interferon gamma-1b,32252,granuloma
34,interferon alfa-2a- recombinant,1259,coma
34,interferon alfa-2a- recombinant,1909,leukemia
34,interferon alfa-2a- recombinant,5506,chronic myelogenous leukemia
34,interferon alfa-2a- recombinant,11010,chronic
34,interferon alfa-2a- recombinant,12115,hepatitis
34,interferon alfa-2a- recombinant,12830,position
34,interferon alfa-2a- recombinant,100242,sarcoma
34,interferon alfa-2a- recombinant,100726,kaposi's sarcoma
34,interferon alfa-2a- recombinant,200123,chronic hepatitis
35,desmopressin,17,nocturia
35,desmopressin,103,polyuria
35,desmopressin,805,enuresis
35,desmopressin,873,diabetes insipidus
35,desmopressin,12825,mild
35,desmopressin,12839,distal
35,desmopressin,25297,prolonged
35,desmopressin,25301,nocturnal
35,desmopressin,30645,central
38,oprelvekin,11009,acute
38,oprelvekin,12826,moderate
38,oprelvekin,12828,severe
