Drug-name,PPR-score
Sofosbuvir/Velpatasvir|nelfinavir|monoclonal antibody|SARS-CoV antibody|neutralizing antibody m396|praziquantel|pitavastatin|CR3022|perampanel|lopinavir/ritonavir|B-M27-VME|MERS-CoV-specific human monoclonal antibody m336,0.003013805147442905
ritonavir|ritonavirum,0.001634616752510027
lopinavir|lpv,0.0016316938945385446
pitavastatin|pitavastatia|pitavastatine|pitavastatinum,0.00021909146478425837
eszopiclone|(+)-(5s)-6-(5-chloropyridin-2-yl)-7-oxo-6-7-dihydro-5h-pyrrolo(3-4-b)pyrazin-5-yl 4-methylpiperazine-1-carboxylate|(+)-(5s)-6-(5-chloropyridin-2-yl)-7-oxo-6-7-dihydro-5h-pyrrolo[3-4-b]pyrazin-5-yl-4-methylpiperazine-1-carboxylate|(+)-zopiclone|(s)-6-(5-chloro-2-pyridinyl)- 7-oxo- 6-7-dihydro- 5h-pyrrolo[3-4-b]pyrazin-5-yl- 4-methyl- 1-piperazinecarboxylate|(s)-zopiclone|1-piperazinecarobxylic acid-4-methyl--(5s)-6-(5-chloro-2-pyridinyl)-6-7-dihydro-7-oxo-5h-pyrrolo[3-4-b]pyrazin-5-yl ester|esopiclone|estorra,0.00021323996992116877
zopiclone|(+-)-zopiclone|(��)-zopiclone|6-(5-chloro-2-pyridinyl)-7-oxo-6-7-dihydro-5h-pyrrolo[3-4-b]pyrazin-5-yl 4-methyl-1-piperazinecarboxylate|zopiclona|zopiclonum,0.00021323996992116877
perampanel|3-(2-cyanophenyl)-5-(2-pyridyl)-1-phenyl-1-2-dihydropyridin-2-one|p��rampanel|perampanelum,0.0002122433205760389
praziquantel,0.00021170026208661033
colistin|colistina|colistine|colistinum|polymyxin e,0.00021149681505768802
bictegravir,0.00021042424641132124
nelfinavir,0.00021042424641132124
prulifloxacin,0.00021042424641132124
Cyclosporine|Ciclosporin|Ciclosporina|Ciclosporine|Ciclosporinum|CsA|CyA|Cyclosporin|Cyclosporin A,0.00012106468526834179
Fostamatinib,0.00007638699900985173
Copper|cobre|cuivre|cuprum|Kupfer,0.000040725128249663446
Quercetin|3-5-7-3'-4'-Pentahydroxyflavone,0.00003255795001806256
NADH|1-4-dihydronicotinamide adenine dinucleotide|DPNH|NAD reduced form|Nicotinamide adenine dinucleotide (reduced)|Nicotinamide-adenine dinucleotide- reduced|Reduced nicotinamide adenine diphosphate|Reduced nicotinamide-adenine dinucleotide,0.000028102981572570948
Zinc|30Zn|Cinc|Zinc|Zincum|Zink|Zn|Zn(ii)|Zn2+,0.000023688844243820707
Phenethyl Isothiocyanate,0.000018381902967617987
Isosorbide,0.000017832132352704918
Artenimol|beta-Dihydroartemisinin|Dihydroartemisinin,0.000017765595339203083
Bosutinib|4-((2-4-Dichloro-5-methoxyphenyl)amino)-6-methoxy-7-(3-(4-methyl-1-piperazinyl)propoxy)-3-quinolinecarbonitrile|Bosulif?|Bosutinib|Bosutinib Monohydrate|SKI 606,0.000014232779367243961
Magnesium acetate tetrahydrate|Acetic acid- magnesium salt- tetrahydrate|Magnesium diacetate tetrahydrate,0.000013364957832433413
2'-Monophosphoadenosine 5'-Diphosphoribose,0.00001295251918967139
L-Proline|(-)-2-Pyrrolidinecarboxylic acid|(?)-(S)-proline|(?)-2-pyrrolidinecarboxylic acid|(?)-proline|(2S)-pyrrolidine-2-carboxylic acid|(S)-2-Carboxypyrrolidine|(S)-2-Pyrrolidinecarboxylic acid|(S)-pyrrolidine-2-carboxylic acid|2-Pyrrolidinecarboxylic acid|L-(?)-proline|L-alpha-pyrrolidinecarboxylic acid|L-Prolin|L-pyrrolidine-2-carboxylic acid|L-��-pyrrolidinecarboxylic acid|P|Prolina|Proline|Prolinum,0.000012733389270996537
Ethanol|1-Hydroxyethane|Alcohol|Alcohol (ethyl)|Alcohol anhydrous|Alcohol denatured|Alcohol et��lico|Alcohol- denatured|Alcool ��thylique|Alkohol|?thanol|?thylalkohol|Dehydrated ethanol|etanol|��thanol|Ethyl Alcohol|Grain alcohol|Hydroxyethane|Methylcarbinol|Spiritus vini,0.000012630062758169087
Glutamic Acid|(2S)-2-Aminopentanedioic acid|(S)-2-Aminopentanedioic acid|(S)-Glutamic acid|Glu|L-Glutamate|L-Glutamic acid|L-Glutaminic acid,0.000012297612584988296
1-4-Dithiothreitol|2-3-dihydroxy-1-4-dithiobutane,0.000011756627280436538
Coenzyme A|3'-phosphoadenosine-(5')diphospho(4')pantatheine|CoA|CoA-SH|CoASH|HSCoA,0.00001172850477732714
Phosphonotyrosine,0.000011392919908625322
Glutathione|5-L-Glutamyl-L-cysteinylglycine|gamma-L-Glutamyl-L-cysteinyl-glycine|Glutathione|Glutathione-SH|GSH|N-(N-gamma-L-Glutamyl-L-cysteinyl)glycine|Reduced glutathione,0.000011258012915095491
Dasatinib|anh. dasatinib|Anhydrous dasatinib|BMS dasatinib|Dasatinib|Dasatinib (anh.)|dasatinib (anhydrous)|Dasatinib anhydrous|Dasatinibum|N-(2-CHLORO-6-methylphenyl)-2-({6-[4-(2-hydroxyethyl)piperazin-1-yl]-2-methylpyrimidin-4-yl}amino)-1-3-thiazole-5-carboxamide,0.000010402851694637198
1-Ter-Butyl-3-P-Tolyl-1h-Pyrazolo[3-4-D]Pyrimidin-4-Ylamine,0.000009790459235779412
Lovastatin|(1S-3R-7S-8S-8aR)-1-2-3-7-8-8a-hexahydro-3-7-dimethyl-8-(2-(2R-4R)-(tetrahydro-4-hydroxy-6-oxo-2H-pyran-2-yl)ethyl)-1-naphthalenyl (S)-2-methyl-butyrate|2��-6��-dimethyl-8alpha-(2-methyl-1-oxobutoxy)-mevinic acid lactone|6-alpha-methylcompactin|6alpha-methylcompactin|6��-methylcompactin|Lovastatina|Lovastatine|Lovastatinum|Mevinolin,0.00000923039075277562
Simvastatin|2-2-Dimethylbutyric acid- 8-ester with (4R-6R)-6-(2-((1S-2S-6R-8S-8ar)-1-2-6-7-8-8a-hexahydro-8-hydroxy-2-6-dimethyl-1-naphthyl)ethyl)tetrahydro-4-hydroxy-2H-pyran-2-one|Simvastatin|Simvastatina|Simvastatine|Simvastatinum|Synvinolin,0.00000916275761408437
TAK-475,0.000008994784809365775
Pyridoxal Phosphate|3-hydroxy-2-methyl-5-((phosphonooxy)methyl)-4-pyridinecarboxaldehyde|3-hydroxy-5-(hydroxymethyl)-2-methylisonicotinaldehyde 5-phosphate|Codecarboxylase|PLP|Pyridoxal 5-monophosphoric acid ester|Pyridoxal 5-phosphate|Pyridoxal 5'-phosphate|Pyridoxal P|Pyridoxal phosphate anhydrous|Pyridoxal-5P|Pyridoxal-P,0.000008993031346497816
Atorvastatin|atorvastatina|atorvastatine|atorvastatinum,0.000008992605260671123
ATP|Adenosine 5'-triphosphate|Adenosine triphosphate|Adenosine-5'-triphosphate|ATP,0.000008944798004295598
Flucytosine|5-FC|5-Fluorocystosine|5-Fluorocytosin|5-Fluorocytosine|5-Flurocytosine|Ancobon (tn)|Flucytosin|Flucytosine|Fluocytosine|Fluorcytosine,0.000008823004957163666
(S)-Hmg-Coa,0.000008667218372937146
3-Hydroxy-3-Methyl-Glutaric Acid,0.000008667218372937146
Cerivastatin,0.000008667218372937146
Fluvastatin|fluvastatina|fluvastatine|fluvastatinum,0.000008667218372937146
Mevastatin|Mevastatina|M��vastatine|mevastatinum,0.000008667218372937146
Oxamniquine|Mansil,0.000008667218372937146
Pravastatin|(+)-(3R-5R)-3-5-dihydroxy-7-[(1S-2S-6S-8S-8aR)-6-hydroxy-2-methyl-8-{[(S)-2-methylbutyryl]oxy}-1-2-6-7-8-8a-hexahydro-1-naphthyl]heptanoic acid|Pravastatin acid|Pravastatina|Pravastatine|Pravastatinum,0.000008667218372937146
Rosuvastatin|(3R-5S-6E)-7-(4-(4-fluorophenyl)-6-(1-methylethyl)-2-(ethyl(methylsulfonyl)amino)-5-pyrimidinyl)-3-5-dihydroxy-6-heptenoic acid|(3R-5S-6E)-7-{4-(4-fluorophenyl)-6-isopropyl-2-[methyl(methylsulfonyl)amino]pyrimidin-5-yl}-3-5-dihydroxyhept-6-enoic acid,0.000008667218372937146
GEM-231,0.000008402204233758091
Glycine|Aminoacetic acid|Aminoessigs?ure|Aminoethanoic acid|Gly|Glycin|Glycocoll|Glykokoll|Glyzin|Leimzucker,0.000008243247500026862
Myristic acid|1-tridecanecarboxylic acid|N-tetradecan-1-oic acid|N-tetradecanoic acid|Tetradecanoic acid,0.00000817338278477596
Docetaxel|Docetaxel anhydrous|N-Debenzoyl-N-(tert-butoxycarbonyl)-10-deacetylpaclitaxel|N-Debenzoyl-N-(tert-butoxycarbonyl)-10-deacetyltaxol|TXL,0.0000081535412734304
Paclitaxel|(2AR-(2aalpha-4beta-4abeta-6beta-9alpha(alpha r*-betas*)-11alpha-12alpha-12balpha))-beta-(benzoylamino)-alpha-hydroxybenzenepropanoic acid 6-12b-bis(acetyloxy)-12-(benzoyloxy)-2a-3-4-4a-5-6-9-10-11-12-12a-12b-dodecahydro-4-11-dihydroxy-4a-8-13-13-tetramethyl-5-oxo-7-11-methano-1H-cyclodeca(3-4)benz(1-2-b)oxet-9-yl ester|5beta-20-Epoxy-1-2-alpha-4-7beta-10beta-13alpha-hexahydroxytax-11-en-9-one 4-10-diacetate 2-benzoate 13-ester with (2R-3S)-N-benzoyl-3-phenylisoserine|Paclitaxel|Taxol A,0.0000081535412734304
Resveratrol|(E)-5-(2-(4-hydroxyphenyl)ethenyl)-1-3-benzenediol(E)-5-(2-(4-hydroxyphenyl)ethenyl)-1-3-benzenediol|(E)-resveratrol|3-4'-5-trihydroxy-trans-stilbene|3-4'-5-trihydroxystilbene|3-5-4'-trihydroxystilbene|5-[(E)-2-(4-hydroxyphenyl)vinyl]benzene-1-3-diol|trans-resveratrol,0.000007451641890598297
Guanosine-5'-Diphosphate,0.00000676666449031874
Voclosporin,0.000006606426239367731
