#virus-ID,virus-name,virus-protein
-1,lentiviruses,Spike
-1,Beta coronavirus,Mpro
-1,Beta coronavirus,E
-1,Beta coronavirus,Spike
-1,Bat-SL-CoVZC45,Nsp7
-1,Bat-SL-CoVZC45,E
-1,sarbeco virus,Spike
11676,﻿HIV,Spike
12663,feline coronavirus,Spike
1508220,Bat SARS-CoV,ORF8
1508220,Bat coronavirus,Spike
1508220,Bat coronavirus,ORF8
1335626,MERS-CoV,Spike
1335626,MERS-CoV,Nsp3
1335626,MERS-CoV,Mpro
1508220,bat SARS-CoV-like,Spike
2664420,Coronaviruses,Nsp3
2664420,Coronaviruses,E
2664420,Coronaviruses,ORF1b
2664420,Coronaviruses,ORF1a
2664420,Coronaviruses,Mpro
2664420,Coronaviruses,Spike
2664420,Coronaviruses,ORF1ab
694005,Murine coronavirus,Nsp3
28295,porcine epidemic diarrhea virus,Spike
11138,mouse hepatitis virus,Nsp3
694009,SARS-CoV,Nsp1
694009,SARS-CoV,Spike
694009,SARS-CoV,Nsp3
694009,SARS-CoV,E
694009,SARS-CoV,Mpro
694009,SARS-CoV,N
694009,SARS-CoV,ORF1ab
11138,murine hepatitis virus,Nsp3
2697049,SARS-CoV-2,ORF1ab
2697049,SARS-CoV-2,ORF7a
2697049,SARS-CoV-2,Spike
2697049,SARS-CoV-2,Nsp3
2697049,SARS-CoV-2,ORF1b
2697049,SARS-CoV-2,Nsp7
2697049,SARS-CoV-2,E
2697049,SARS-CoV-2,Mpro
2697049,SARS-CoV-2,ORF6
2697049,SARS-CoV-2,ORF8
2697049,SARS-CoV-2,ORF1a
2697049,SARS-CoV-2,ORF10
2697049,SARS-CoV-2,ORF3a
2697049,SARS-CoV-2,Nsp1
2697049,SARS-CoV-2,N
2697049,SARS-CoV-2,nucleocapsid protein
2697049,SARS-CoV-2,ORF10 protein
2697049,SARS-CoV-2,membrane glycoprotein
2697049,SARS-CoV-2,ORF3a protein
2697049,SARS-CoV-2,orf10 protein
2697049,SARS-CoV-2,envelope protein
2697049,SARS-CoV-2,surface glycoprotein
2697049,SARS-CoV-2,envelope protein
2697049,SARS-CoV-2,ORF8 protein
2697049,SARS-CoV-2,ORF6 protein
2697049,SARS-CoV-2,orf6 protein
2697049,SARS-CoV-2,ORF10 protein
2697049,SARS-CoV-2,structural protein
2697049,SARS-CoV-2,spike glycoprotein
2697049,SARS-CoV-2,orf8 protein
2697049,SARS-CoV-2,ORF3a protein
2697049,SARS-CoV-2,membrane glycoprotein
2697049,SARS-CoV-2,orf1ab polyprotein
2697049,SARS-CoV-2,orf1ab polyprotein
2697049,SARS-CoV-2,nucleocapsid protein
2697049,SARS-CoV-2,orf1ab polyprotein
2697049,SARS-CoV-2,spike glycoprotein
2697049,SARS-CoV-2,nucleocapsid protein
2697049,SARS-CoV-2,ORF7b
2697049,SARS-CoV-2,surface glycoprotein
2697049,SARS-CoV-2,ORF8 protein
2697049,SARS-CoV-2,orf7a protein
2697049,SARS-CoV-2,surface glycoprotein
2697049,SARS-CoV-2,membrane glycoprotein
2697049,SARS-CoV-2,surface glycoprotein
2697049,SARS-CoV-2,orf3a protein
2697049,SARS-CoV-2,orf3a protein
2697049,SARS-CoV-2,orf6 protein
2697049,SARS-CoV-2,nucleocapsid phosphoprotein
2697049,SARS-CoV-2,surface glycoprotein
2697049,SARS-CoV-2,orf1a polyprotein
2697049,SARS-CoV-2,orf7a protein
2697049,SARS-CoV-2,ORF6 protein
2697049,SARS-CoV-2,ORF10 protein
2697049,SARS-CoV-2,surface glycoprotein
2697049,SARS-CoV-2,ORF8 protein
2697049,SARS-CoV-2,surface glycoprotein
2697049,SARS-CoV-2,orf7a protein
2697049,SARS-CoV-2,nucleocapsid phosphoprotein
2697049,SARS-CoV-2,surface glycoprotein
2697049,SARS-CoV-2,ORF3 protein
2697049,SARS-CoV-2,ORF7a protein
2697049,SARS-CoV-2,surface glycoprotein
2697049,SARS-CoV-2,surface glycoprotein
2697049,SARS-CoV-2,nucleocapsid phosphoprotein
2697049,SARS-CoV-2,ORF8 protein
2697049,SARS-CoV-2,spike glycoprotein
2697049,SARS-CoV-2,orf7a protein
2697049,SARS-CoV-2,ORF7a protein
2697049,SARS-CoV-2,membrane glycoprotein
2697049,SARS-CoV-2,nonstructural protein NS3
2697049,SARS-CoV-2,orf10 protein
2697049,SARS-CoV-2,orf1ab polyprotein
2697049,SARS-CoV-2,orf6 protein
2697049,SARS-CoV-2,nonstructural protein NS7a
2697049,SARS-CoV-2,envelope protein
2697049,SARS-CoV-2,ORF7a protein
2697049,SARS-CoV-2,nucleocapsid phosphoprotein
2697049,SARS-CoV-2,membrane glycoprotein
2697049,SARS-CoV-2,orf3a protein
2697049,SARS-CoV-2,membrane glycoprotein
2697049,SARS-CoV-2,ORF7 protein
2697049,SARS-CoV-2,ORF8 protein
2697049,SARS-CoV-2,ORF6 protein
2697049,SARS-CoV-2,orf1a polyprotein
2697049,SARS-CoV-2,nucleocapsid phosphoprotein
2697049,SARS-CoV-2,orf8 protein
2697049,SARS-CoV-2,orf7a protein
2697049,SARS-CoV-2,ORF6 protein
2697049,SARS-CoV-2,ORF6 protein
2697049,SARS-CoV-2,orf7a protein
2697049,SARS-CoV-2,orf1ab polyprotein
2697049,SARS-CoV-2,nucleocapsid phosphoprotein
2697049,SARS-CoV-2,orf1ab polyprotein
2697049,SARS-CoV-2,envelope protein
2697049,SARS-CoV-2,orf1ab polyprotein
2697049,SARS-CoV-2,ORF1ab polyprotein
2697049,SARS-CoV-2,ORF6 protein
2697049,SARS-CoV-2,membrane glycoprotein
2697049,SARS-CoV-2,surface glycoprotein
2697049,SARS-CoV-2,membrane glycoprotein
2697049,SARS-CoV-2,ORF7a protein
2697049,SARS-CoV-2,ORF10 protein
2697049,SARS-CoV-2,ORF1ab polyprotein
2697049,SARS-CoV-2,nucleocapsid phosphoprotein
2697049,SARS-CoV-2,orf1ab polyprotein
2697049,SARS-CoV-2,membrane glycoprotein
2697049,SARS-CoV-2,orf1ab polyprotein
2697049,SARS-CoV-2,orf1ab polyprotein
2697049,SARS-CoV-2,nonstructural protein NS8
2697049,SARS-CoV-2,envelope protein
2697049,SARS-CoV-2,orf1ab polyprotein
2697049,SARS-CoV-2,ORF6 protein
2697049,SARS-CoV-2,orf1ab polyprotein
2697049,SARS-CoV-2,nucleocapsid phosphoprotein
2697049,SARS-CoV-2,membrane glycoprotein
2697049,SARS-CoV-2,envelope protein
2697049,SARS-CoV-2,nucleocapsid phosphoprotein
2697049,SARS-CoV-2,orf1ab polyprotein
2697049,SARS-CoV-2,nonstructural protein NS6
2697049,SARS-CoV-2,membrane glycoprotein
2697049,SARS-CoV-2,surface glycoprotein
2697049,SARS-CoV-2,nucleocapsid phosphoprotein
2697049,SARS-CoV-2,ORF7a protein
2697049,SARS-CoV-2,orf6 protein
2697049,SARS-CoV-2,spike glycoprotein
2697049,SARS-CoV-2,envelope protein
2697049,SARS-CoV-2,ORF7a protein
2697049,SARS-CoV-2,orf8 protein
2697049,SARS-CoV-2,envelope protein
2697049,SARS-CoV-2,nonstructural protein NS8
2697049,SARS-CoV-2,orf8 protein
2697049,SARS-CoV-2,nucleocapsid phosphoprotein
2697049,SARS-CoV-2,orf10 protein
2697049,SARS-CoV-2,membrane glycoprotein
2697049,SARS-CoV-2,nucleocapsid phosphoprotein
2697049,SARS-CoV-2,membrane glycoprotein
2697049,SARS-CoV-2,envelope protein
2697049,SARS-CoV-2,surface glycoprotein
2697049,SARS-CoV-2,nonstructural protein NS7a
2697049,SARS-CoV-2,surface glycoprotein
2697049,SARS-CoV-2,orf7a protein
2697049,SARS-CoV-2,nucleocapsid phosphoprotein
2697049,SARS-CoV-2,ORF3a protein
2697049,SARS-CoV-2,surface glycoprotein
2697049,SARS-CoV-2,orf1ab polyprotein
2697049,SARS-CoV-2,membrane glycoprotein
2697049,SARS-CoV-2,surface glycoprotein
2697049,SARS-CoV-2,ORF8 protein
2697049,SARS-CoV-2,surface glycoprotein
2697049,SARS-CoV-2,orf1ab polyprotein
2697049,SARS-CoV-2,ORF10 protein
2697049,SARS-CoV-2,orf6 protein
2697049,SARS-CoV-2,nonstructural protein NS3
2697049,SARS-CoV-2,orf1ab polyprotein
2697049,SARS-CoV-2,membrane protein
2697049,SARS-CoV-2,nucleocapsid phosphoprotein
2697049,SARS-CoV-2,membrane glycoprotein
2697049,SARS-CoV-2,membrane protein
2697049,SARS-CoV-2,ORF10 protein
2697049,SARS-CoV-2,orf1ab polyprotein
2697049,SARS-CoV-2,surface glycoprotein
2697049,SARS-CoV-2,nonstructural protein NS3
2697049,SARS-CoV-2,nucleocapsid phosphoprotein
2697049,SARS-CoV-2,ORF6 protein
2697049,SARS-CoV-2,orf10 protein
2697049,SARS-CoV-2,envelope protein
2697049,SARS-CoV-2,membrane glycoprotein
2697049,SARS-CoV-2,nucleocapsid phosphoprotein
2697049,SARS-CoV-2,membrane glycoprotein
2697049,SARS-CoV-2,orf8 protein
2697049,SARS-CoV-2,ORF10 protein
2697049,SARS-CoV-2,envelope protein
2697049,SARS-CoV-2,orf10 protein
2697049,SARS-CoV-2,ORF10 protein
2697049,SARS-CoV-2,ORF7a protein
2697049,SARS-CoV-2,ORF8 protein
2697049,SARS-CoV-2,orf8 protein
2697049,SARS-CoV-2,ORF8 protein
2697049,SARS-CoV-2,orf3a protein
2697049,SARS-CoV-2,ORF6 protein
2697049,SARS-CoV-2,ORF7a protein
2697049,SARS-CoV-2,envelope protein
2697049,SARS-CoV-2,envelope protein
2697049,SARS-CoV-2,ORF8 protein
2697049,SARS-CoV-2,membrane glycoprotein
2697049,SARS-CoV-2,nonstructural protein NS7b
2697049,SARS-CoV-2,ORF3a protein
2697049,SARS-CoV-2,orf7a protein
2697049,SARS-CoV-2,membrane glycoprotein
2697049,SARS-CoV-2,orf1ab polyprotein
2697049,SARS-CoV-2,ORF1ab polyprotein
2697049,SARS-CoV-2,ORF1ab polyprotein
2697049,SARS-CoV-2,orf6 protein
2697049,SARS-CoV-2,surface glycoprotein
2697049,SARS-CoV-2,orf1ab polyprotein
2697049,SARS-CoV-2,orf1ab polyprotein
2697049,SARS-CoV-2,orf1ab polyprotein
2697049,SARS-CoV-2,orf3a protein
2697049,SARS-CoV-2,membrane glycoprotein
2697049,SARS-CoV-2,nucleocapsid phosphoprotein
2697049,SARS-CoV-2,membrane glycoprotein
2697049,SARS-CoV-2,ORF6 protein
