#virus-protein-id,virus-protein
0,VP1|VP1_SV40
1,A0A218M2D5|A0A218M2D5_LYCVA
2,Q20MH3|Q20MH3_I33A0
3,ICP27|ICP27_EBVA8|ICP27_HHV8P|ICP27_HHV11|ICP27_HCMVA|ICP27_EBVB9|ICP27_EHV1B
4,NCAP|NCAP_I33A0|NCAP_LYCVA|NCAP_I34A1|NCAP_MEASF|NCAP_EBOZM|NCAP_PUUMS|NCAP_BUNL8|NCAP_CVHSA
5,PA|PA_I33A0|PA_I34A1|PA_I75A0
6,POLN|POLN_SINDV|POLN_HEVHY|POLN_HEVMG|POLN_SFV
7,RDRP|RDRP_I33A0|RDRP_I34A1
8,HEMA|HEMA_I33A0|HEMA_I34A1
9,POLG|POLG_CSFVA|POLG_DEN26|POLG_ZIKV|POLG_DEN27|POLG_ZIKVF|POLG_HCVCO|POLG_HE71M|POLG_ALKV|POLG_HCVJF|POLG_DEN4P|POLG_DEN3P|POLG_KUNJM|POLG_WNV|POLG_DEN4D|POLG_DEN1W
10,NRAM|NRAM_I33A0|NRAM_I34A1
11,REP78|REP78_AAV2S
12,PB2|PB2_I33A0|PB2_I34A1
13,M1|M1_I33A0|M1_I34A1
14,VP30|VP30_EBOZM
15,LHDAG|LHDAG_HDVD3
16,M2|M2_I33A0|M2_I34A1|M2_I72A8
17,M0QVI9|M0QVI9_9ADEN
18,Q8JSN8|Q8JSN8_9INFA
19,Q20MD1|Q20MD1_I72A8
20,Q20MC6|Q20MC6_I72A8
21,E8|E8_VACCW
22,CEP1|CEP1_HHV11|CEP1_EBVA8
23,C2|C2_VACCW
24,TCRM|TCRM_VACCW
25,NEP|NEP_I34A1|NEP_I59A0|NEP_I56A3|NEP_I33A0
26,YP|YP_009227196|YP_009227200|YP_009227203|YP_009227204|YP_009227201|YP_009227198|YP_009227197|YP_009227199|YP_009227202|YP_009227205|YP_001249272|YP_214057|YP_401728|YP_001129464
27,BNL2A|BNL2A_EBVA8
28,VE5|VE5_HPV18|VE5_HPV16|VE5_HPV31|VE5_HPV33
29,Q3KSR4|Q3KSR4_EBVG
30,A0A288CFT1|A0A288CFT1_HV1H2
31,B8ZX49|B8ZX49_9POLY
32,A0A0C7TUY8|A0A0C7TUY8_EBVG
33,B9UPF3|B9UPF3_HPV11
34,O36551|O36551_HHV8
35,G3CKS7|G3CKS7_EBVG
36,VE5A|VE5A_HPV6B
37,UL92|UL92_EBVA8|UL92_HHV8P
38,RTA|RTA_EBVA8|RTA_EBVB9
39,E1BS|E1BS_ADE05|E1BS_ADE12|E1BS_ADE02
40,VE5B|VE5B_HPV6B
41,BTRF1|BTRF1_EBVA8|BTRF1_EBVB9
42,KITH|KITH_EBVA8|KITH_EBVB9
43,LT|LT_SV40|LT_POVMA|LT_POVJC
44,EAR|EAR_EBVA8
